Name;m_Name;Vmag;Bmag;B-V;X;Y
 417; ;21.27;21.91; 0.64;-131; 292
 418; ;21.22;21.89; 0.66;-106; 292
 429; ;20.48;21.07; 0.60; 165; 292
 433; ;21.24;21.75; 0.52;  23; 292
 431; ;20.29;20.93; 0.65;-126; 291
 434; ;20.12;20.62; 0.50; -69; 291
 444; ;20.46;21.15; 0.68;   9; 291
 432; ;20.10;20.60; 0.49;-167; 290
 440; ;19.97;20.41; 0.44;-142; 290
 443; ;19.40;19.90; 0.49; -86; 290
 448; ;18.52;19.03; 0.51; -23; 290
 454; ;19.61;20.01; 0.40;  59; 290
 438; ;21.62;22.30; 0.68;-112; 290
 453; ;21.12;21.91; 0.79;  47; 290
 442; ;20.39;21.00; 0.62;-186; 289
 451; ;19.79;20.20; 0.41; -53; 289
 452; ;21.21;21.90; 0.69;  -2; 289
 458; ;19.90;20.30; 0.40; -35; 289
 434;a;21.16;21.80; 0.64; -69; 289
 445; ;21.14;21.83; 0.69;-159; 289
 454;a;20.73;21.20; 0.47;  60; 288
 462; ;20.78;21.40; 0.62; -80; 288
 464; ;20.29;20.75; 0.46; 173; 288
 468; ;19.89;20.37; 0.48;  81; 288
 470; ;19.87;20.33; 0.46; 190; 288
 455; ;20.96;21.53; 0.57;-116; 288
 459; ;21.14;21.85; 0.71;-143; 288
 460;a;20.34;20.97; 0.64; -10; 288
 467; ;20.39;20.96; 0.57; -65; 287
 469; ;20.35;20.85; 0.50;  25; 287
 469;a;20.88;21.53; 0.65;  23; 287
 471; ;20.06;20.58; 0.52;  52; 287
 452;a;21.51;22.19; 0.68;  -4; 287
 459;a;20.35;20.90; 0.55;-145; 286
 480; ;20.34;20.89; 0.56;   7; 286
 480;a;21.32;22.04; 0.72;   8; 286
 482; ;20.75;21.50; 0.75;  92; 286
 484; ;21.04;21.89; 0.85; -29; 286
 485; ;19.62;19.98; 0.37; -25; 286
 490; ;19.77;20.20; 0.43; 153; 286
 492; ;19.03;19.43; 0.39; 182; 286
 476; ;20.32;20.81; 0.49;-151; 285
 483; ;20.03;20.50; 0.47; -51; 285
 488; ;20.65;21.28; 0.62; -84; 285
 489; ;20.45;20.95; 0.50;  33; 285
 491; ;21.34;21.92; 0.57; 174; 285
 494; ;20.34;20.80; 0.47;  28; 285
 500; ;20.01;20.62; 0.61; 141; 285
 472; ;20.82;21.33; 0.51;-182; 285
 487; ;19.07;19.44; 0.37;-166; 284
 505; ;20.30;20.83; 0.53;  70; 284
 506; ;20.50;21.04; 0.54;  46; 284
 507; ;21.21;21.72; 0.51; 208; 284
 504; ;18.04;18.73; 0.69; -23; 284
 501;a;19.81;20.26; 0.45;  -3; 284
 499; ;21.13;21.73; 0.61;-204; 283
 501; ;18.81;19.26; 0.45;  -4; 283
 507;a;19.66;20.10; 0.44; 210; 283
 512; ;19.34;19.80; 0.45; -76; 283
 472;a;18.69;19.11; 0.42;-183; 283
 521; ;19.50;19.92; 0.42; -95; 282
 522; ;20.67;21.25; 0.58; -62; 282
 525; ;21.26;21.79; 0.53;  12; 282
 528; ;21.30;22.10; 0.80;  79; 282
 508; ;19.04;19.42; 0.38;-187; 282
 518; ;20.15;20.59; 0.44;-130; 282
 520; ;20.71;21.22; 0.51;-164; 282
 533; ;20.97;21.58; 0.62;  21; 282
 517; ;19.58;20.06; 0.49;-201; 281
 525;a;18.89;19.29; 0.41;  15; 281
 532; ;20.55;21.09; 0.54; -84; 281
 534; ;18.79;19.22; 0.43; -56; 281
 535; ;20.21;20.79; 0.58; -42; 281
 536; ;20.25;20.76; 0.51; -25; 281
 538; ;21.33;21.82; 0.50;  95; 281
 539;a;19.21;19.59; 0.37;  53; 281
 518;a;21.44;22.19; 0.75;-130; 281
 539; ;21.11;21.78; 0.67;  50; 281
 541; ;20.88;21.51; 0.63; 141; 281
 542; ;21.01;21.63; 0.63; 153; 281
 516;a;18.95;19.41; 0.45; 201; 280
 521;a;21.24;21.91; 0.68; -95; 280
 529; ;19.76;20.21; 0.45;-181; 280
 546; ;21.11;21.76; 0.64;  84; 280
 533;a;21.39;22.61; 1.22;  21; 280
 558; ;21.32;21.97; 0.66; 197; 280
 539;b;20.71;21.21; 0.50;  52; 279
 552; ;19.21;19.67; 0.46;-134; 279
 563; ;19.55;19.95; 0.40; 134; 279
 567; ;20.55;21.12; 0.57; 218; 279
 572; ;20.61;21.16; 0.55;  47; 279
 572;a;20.60;21.12; 0.52;  49; 279
 573; ;19.45;19.83; 0.39;  68; 279
 538;a;21.68;22.39; 0.70;  94; 279
 551; ;20.05;20.50; 0.46;-169; 278
 557; ;18.56;19.01; 0.45;-174; 278
 559; ;19.51;19.93; 0.42;-153; 278
 560; ;18.64;19.08; 0.44;-139; 278
 565; ;21.14;21.76; 0.62;-103; 278
 567;a;20.94;21.58; 0.65; 217; 278
 569; ;19.00;19.37; 0.37; -62; 278
 569;a;20.44;20.98; 0.54; -64; 278
 570; ;19.99;20.45; 0.45; -31; 278
 570;a;20.48;21.07; 0.58; -29; 278
 573;a;20.21;20.86; 0.65;  69; 278
 585; ;20.58;21.19; 0.61; -13; 278
 531;b;18.43;18.68; 0.25;-114; 278
 550; ;21.07;21.61; 0.54;-193; 278
 571; ;21.47;22.12; 0.64;   0; 278
 578; ;20.50;21.02; 0.52; -51; 278
 580; ;20.98;21.66; 0.68;  38; 278
 552;a;19.72;20.26; 0.54;-134; 277
 556; ;21.38;22.04; 0.66;-213; 277
 560;a;20.15;20.65; 0.50;-142; 277
 574; ;20.44;20.97; 0.53;-197; 277
 578;a;20.94;21.65; 0.72; -51; 277
 601; ;18.81;19.25; 0.45;  57; 277
 602; ;20.49;21.00; 0.51; 197; 277
 587; ;20.98;21.62; 0.64;-124; 277
 597; ;21.40;22.09; 0.70;  82; 277
 599; ;20.84;21.47; 0.63; -32; 277
 565;a;20.52;21.19; 0.66;-101; 276
 586; ;19.97;20.45; 0.48;-188; 276
 591; ;18.98;19.37; 0.40;-131; 276
 596; ;20.81;21.53; 0.71;-149; 276
 605; ;20.01;20.42; 0.41; -78; 276
 605;a;18.81;19.21; 0.40; -76; 276
 607; ;19.79;20.24; 0.45; -37; 276
 612; ;19.90;20.31; 0.41;  10; 276
 613; ;20.48;21.01; 0.53;  73; 276
 617; ;19.19;19.61; 0.42; 208; 276
 630;a;21.14;22.00; 0.87; 156; 276
 559;a;21.31;22.05; 0.74;-156; 276
 591;a;20.82;21.45; 0.62;-128; 276
 608; ;20.86;21.51; 0.66;  67; 276
 565;b;21.83;22.59; 0.76;-104; 275
 595; ;20.86;21.37; 0.51;-181; 275
 599;a;19.74;20.22; 0.48; -31; 275
 613;a;21.06;21.61; 0.55;  76; 275
 616; ;19.47;19.91; 0.44; -25; 275
 620; ;19.23;19.68; 0.45;  22; 275
 622; ;19.05;19.49; 0.45;  44; 275
 624; ;20.56;21.06; 0.50; 201; 275
 626; ;20.99;21.59; 0.60; 110; 275
 604; ;20.83;21.45; 0.62;-127; 275
 599;b;20.72;21.28; 0.56; -31; 274
 602;a;18.57;19.07; 0.49; 196; 274
 603; ;18.71;19.12; 0.41;-220; 274
 610; ;20.89;21.53; 0.65;-205; 274
 625; ;20.04;20.56; 0.52;-117; 274
 632; ;20.39;20.95; 0.56; 119; 274
 633; ;20.99;21.53; 0.54; 222; 274
 586;a;21.62;22.26; 0.65;-186; 274
 630; ;21.05;21.69; 0.64; 155; 274
 628; ;20.73;21.38; 0.65;-109; 273
 638; ;18.85;19.18; 0.33; 141; 273
 639; ;19.82;20.26; 0.44; 175; 273
 647; ;20.64;21.26; 0.62; 101; 273
 648; ;19.46;19.87; 0.40; 148; 273
 621; ;20.95;21.65; 0.70;-174; 273
 627; ;20.93;21.49; 0.56;-164; 273
 621;a;19.89;20.35; 0.47;-172; 272
 634; ;19.00;19.41; 0.41;-176; 272
 637;a;18.91;19.35; 0.43;  48; 272
 644; ;19.86;20.34; 0.48; -80; 272
 650; ;21.19;21.82; 0.63; -83; 272
 651; ;20.25;20.76; 0.52;  34; 272
 652; ;20.40;21.03; 0.63;  87; 272
 654;a;19.28;19.65; 0.37; 192; 272
 662; ;18.47;18.86; 0.39; 166; 272
 668; ;19.66;20.07; 0.41; 125; 272
 669; ;19.07;19.42; 0.35; 169; 272
 645; ;20.37;20.85; 0.48; -27; 272
 656; ;21.59;22.32; 0.73; 122; 272
 627;a;19.01;19.41; 0.40;-162; 271
 638;a;19.07;19.47; 0.40; 143; 271
 644;a;20.90;21.41; 0.51; -79; 271
 654;b;20.23;20.70; 0.47; 193; 271
 657; ;20.16;20.64; 0.48;-101; 271
 664; ;20.05;20.62; 0.57; -94; 271
 666; ;20.14;20.67; 0.54;   3; 271
 667; ;20.38;20.82; 0.44;  20; 271
 674; ;18.85;19.29; 0.44;  43; 271
 676; ;19.94;20.38; 0.44;  -2; 271
 678; ;20.10;20.70; 0.60; 180; 271
 678;a;19.53;19.96; 0.43; 179; 271
 686; ;20.50;21.03; 0.53; 163; 271
 635; ;20.77;21.27; 0.50;-197; 271
 650;a;20.61;21.17; 0.56; -82; 271
 652;a;20.15;20.61; 0.46;  87; 271
 652;b;20.20;20.71; 0.51;  85; 271
 653;a;20.26;20.68; 0.42; 193; 271
 657;a;21.47;22.26; 0.78;-103; 271
 621;b;20.01;20.52; 0.51;-170; 270
 634;a;18.46;18.97; 0.51;-177; 270
 634;b;19.30;19.71; 0.41;-175; 270
 635;a;19.44;19.90; 0.46;-196; 270
 638;b;19.37;19.74; 0.37; 145; 270
 663; ;18.66;19.07; 0.41;-181; 270
 684; ;19.50;19.95; 0.45; -17; 270
 690; ;20.54;21.14; 0.60; -22; 270
 692; ;21.37;22.03; 0.65; 113; 270
 693; ;19.50;19.94; 0.43; 198; 270
 701; ;20.58;20.98; 0.41;  67; 270
 650;b;21.49;22.13; 0.63; -85; 270
 685; ;21.02;21.57; 0.54;  26; 270
 691; ;20.91;21.44; 0.53;  80; 270
 685;a;19.89;20.36; 0.47;  29; 269
 689; ;19.23;19.64; 0.41; -58; 269
 696; ;20.27;20.78; 0.50;-138; 269
 698; ;18.39;18.82; 0.42; -63; 269
 700; ;20.89;21.52; 0.62;  57; 269
 704; ;19.66;20.09; 0.43; 135; 269
 706; ;20.79;21.51; 0.72;  49; 269
 707; ;21.04;21.70; 0.66;  65; 269
 710; ;19.46;19.88; 0.42;  62; 269
 714; ;20.76;21.29; 0.53; 108; 269
 699; ;21.31;21.98; 0.67; -46; 269
 708; ;21.48;22.11; 0.63;  88; 269
 621;c;18.45;18.99; 0.54;-169; 268
 684;a;18.70;19.08; 0.38; -17; 268
 688; ;19.10;19.56; 0.46;-188; 268
 693;a;19.63;20.00; 0.37; 198; 268
 694; ;20.11;20.57; 0.46;-196; 268
 702; ;21.37;22.01; 0.64;-133; 268
 716; ;20.33;20.89; 0.56; -39; 268
 718; ;20.38;20.88; 0.51;  13; 268
 721; ;19.37;19.76; 0.40; 117; 268
 725; ;20.30;20.84; 0.53; 130; 268
 690;a;21.00;21.72; 0.72; -19; 268
 712; ;19.72;20.23; 0.51;  -6; 268
 713; ;21.28;21.93; 0.65;  -1; 268
 705; ;20.20;20.72; 0.52;-200; 267
 711; ;20.89;21.54; 0.65;-145; 267
 712;a;20.48;21.08; 0.60;  -5; 267
 715; ;19.96;20.44; 0.48; -86; 267
 716;a;21.25;21.94; 0.69; -38; 267
 727; ;19.98;20.41; 0.43; -67; 267
 729; ;20.40;20.90; 0.50; 165; 267
 735; ;20.55;21.10; 0.56;  95; 267
 736; ;20.99;21.62; 0.63; 226; 267
 739; ;18.82;19.24; 0.42; 102; 267
 722; ;19.49;19.98; 0.48;-184; 266
 742; ;20.89;21.48; 0.58;  81; 266
 750; ;20.21;20.79; 0.58; -14; 266
 751; ;20.82;21.39; 0.57; 212; 266
 761;a;20.16;20.61; 0.45; 117; 266
 745; ;20.79;21.36; 0.57; -86; 266
 747; ;21.40;22.13; 0.73;  93; 266
 731; ;20.96;21.59; 0.63;-232; 265
 735;a;20.46;20.95; 0.49;  98; 265
 738; ;20.59;21.19; 0.59;-142; 265
 740; ;20.63;21.12; 0.50;-123; 265
 749; ;19.35;19.80; 0.45; -28; 265
 753; ;20.79;21.40; 0.61;  -7; 265
 755; ;19.94;20.35; 0.41; -44; 265
 755;a;18.96;19.37; 0.41; -46; 265
 759; ;20.23;20.83; 0.60;  11; 265
 765; ;19.89;20.32; 0.44; 199; 265
 766; ;19.40;19.79; 0.39; 217; 265
 772; ;20.68;21.20; 0.52; 176; 265
 732; ;20.84;21.51; 0.66;-194; 265
 756; ;20.68;21.36; 0.68; -29; 265
 756;a;20.54;21.09; 0.54; -32; 265
 760; ;20.32;20.87; 0.55;  69; 265
 761; ;20.59;21.24; 0.64; 120; 265
 763; ;21.33;22.03; 0.71;  76; 265
 743; ;20.18;20.73; 0.54;-224; 264
 757; ;18.40;18.98; 0.58;-110; 264
 760;a;19.51;19.97; 0.46;  69; 264
 760;b;19.39;19.75; 0.37;  67; 264
 761;b;19.98;20.55; 0.56; 118; 264
 770; ;19.36;19.73; 0.37; -91; 264
 774; ;19.23;19.71; 0.48;  58; 264
 778; ;20.51;21.05; 0.54;  88; 264
 781; ;19.49;19.89; 0.41; 226; 264
 785; ;20.19;20.64; 0.45; 114; 264
 722;a;21.35;22.09; 0.75;-183; 264
 771; ;21.15;21.78; 0.62;  18; 264
 775; ;21.27;21.90; 0.64; 237; 264
 765;a;20.95;21.60; 0.65; 201; 263
 766;a;19.18;19.60; 0.42; 216; 263
 769; ;18.98;19.39; 0.41;-186; 263
 779; ;20.32;20.88; 0.56; -52; 263
 782; ;20.79;21.40; 0.61; -72; 263
 787; ;20.09;20.56; 0.47;  -7; 263
 759;a;21.92;22.61; 0.69;  11; 263
 767; ;20.85;21.44; 0.59;-201; 263
 768; ;21.26;21.82; 0.57;-191; 263
 783; ;21.15;21.83; 0.68;  54; 263
 786; ;20.77;21.45; 0.68; -28; 263
 768;a;19.35;19.77; 0.42;-193; 262
 785;a;19.64;20.06; 0.42; 115; 262
 800; ;21.30;22.02; 0.71;  39; 262
 808; ;20.70;21.24; 0.54; 142; 262
 792; ;20.56;21.17; 0.60; -54; 262
 799; ;21.17;21.83; 0.65; -23; 262
 782;a;20.26;20.93; 0.67; -70; 261
 787;a;19.26;19.65; 0.38;  -5; 261
 802; ;20.10;20.63; 0.53;-137; 261
 805; ;18.87;19.28; 0.40; -32; 261
 811; ;18.46;19.04; 0.57;   6; 261
 814; ;20.09;20.56; 0.47; -84; 261
 816; ;20.45;20.94; 0.49; 232; 261
 826; ;21.16;21.65; 0.49; 227; 261
 791; ;20.81;21.39; 0.57;-153; 261
 815; ;19.99;20.49; 0.50; 117; 261
 820;a;20.99;21.69; 0.69;  36; 261
 821; ;21.14;21.87; 0.72; 129; 261
 825; ;21.22;21.82; 0.60; 153; 261
 791;a;21.37;22.07; 0.71;-151; 260
 797; ;20.74;21.37; 0.63;-199; 260
 809; ;21.20;21.89; 0.69;-173; 260
 813; ;20.21;20.67; 0.47;-108; 260
 819; ;20.75;21.42; 0.67; -38; 260
 821;a;21.56;22.09; 0.53; 129; 260
 823; ;19.08;19.49; 0.42; -80; 260
 824; ;19.82;20.30; 0.49; -27; 260
 830; ;19.95;20.45; 0.50; 241; 260
 832; ;20.29;20.76; 0.47; -63; 260
 835; ;19.72;20.17; 0.45; 167; 260
 836; ;20.74;21.41; 0.67; 210; 260
 840; ;19.65;20.12; 0.47;  -9; 260
 846; ;18.33;18.95; 0.63; 206; 260
 851; ;19.80;20.25; 0.44;  99; 260
 852; ;19.84;20.29; 0.45; 138; 260
 853; ;20.72;21.24; 0.52; 163; 260
 819;a;21.01;21.54; 0.53; -37; 260
 822; ;21.50;22.17; 0.67;-106; 260
 829; ;21.50;22.27; 0.77;  80; 260
 834; ;21.60;22.36; 0.77;  31; 260
 834;a;21.02;21.67; 0.66;  30; 260
 858;b;20.89;21.45; 0.55; -56; 260
 812; ;20.77;21.45; 0.68;-233; 259
 815;a;21.19;21.73; 0.54; 117; 259
 820; ;19.59;19.97; 0.38;  37; 259
 832;a;20.28;20.97; 0.68; -62; 259
 842; ;19.93;20.46; 0.53; -71; 259
 843; ;18.54;19.01; 0.47; -51; 259
 856; ;20.43;20.91; 0.48; 236; 259
 826;a;21.71;22.43; 0.72; 227; 259
 860; ;20.26;20.80; 0.53;  69; 259
 869;a;20.16;20.69; 0.53;-109; 259
 838; ;19.03;19.45; 0.42;-187; 258
 858; ;20.16;20.67; 0.51; -58; 258
 862; ;20.90;21.37; 0.47;-122; 258
 863; ;20.60;21.11; 0.51; -18; 258
 868; ;18.83;19.26; 0.43; 220; 258
 875; ;20.83;21.45; 0.62; 203; 258
 877; ;19.51;19.96; 0.45;  87; 258
 823;a;20.46;20.92; 0.47; -80; 258
 842;b;20.95;21.59; 0.64; -72; 258
 867; ;20.57;21.17; 0.61; 156; 258
 832;b;19.05;19.61; 0.56; -63; 257
 842;a;20.11;20.60; 0.50; -71; 257
 847; ;20.61;21.24; 0.64;-206; 257
 869; ;20.08;20.62; 0.55;-110; 257
 872; ;20.79;21.42; 0.62;-143; 257
 876; ;19.84;20.29; 0.44; -97; 257
 882; ;20.61;21.23; 0.62; 105; 257
 887; ;20.92;21.69; 0.77; -74; 257
 888; ;19.83;20.21; 0.38;  -2; 257
 888;a;20.25;20.70; 0.46;  -3; 257
 900; ;19.76;20.18; 0.41; 173; 257
 842;c;21.16;21.88; 0.72; -74; 257
 858;a;21.23;21.86; 0.62; -56; 257
 864; ;21.37;21.99; 0.61;-193; 257
 881; ;21.14;21.79; 0.65;  82; 257
 894;c;20.84;21.36; 0.52;  19; 257
 847;a;19.30;19.64; 0.34;-204; 256
 884; ;20.61;21.11; 0.50;-172; 256
 885; ;19.09;19.46; 0.36;-115; 256
 895; ;21.22;21.88; 0.66; -43; 256
 898; ;20.44;20.95; 0.51; -35; 256
 898;a;18.84;19.26; 0.42; -37; 256
 901; ;19.49;19.95; 0.46;  33; 256
 903; ;20.60;21.21; 0.60; 112; 256
 910;a;21.72;22.23; 0.51; 182; 256
 886; ;20.54;21.10; 0.56; -85; 256
 887;a;21.55;22.29; 0.74; -75; 256
 899; ;20.04;20.61; 0.56; -29; 256
 916;a;21.33;22.09; 0.76;  44; 256
 878; ;19.21;19.66; 0.45;-221; 255
 883; ;19.63;20.03; 0.40;-224; 255
 890;a;20.70;21.23; 0.54;-162; 255
 893; ;20.03;20.52; 0.50;-154; 255
 894;a;20.35;20.89; 0.54;  19; 255
 894;b;20.98;21.60; 0.62;  21; 255
 905; ;20.55;21.08; 0.53;   1; 255
 910; ;19.79;20.25; 0.46; 183; 255
 913; ;21.50;22.21; 0.71; 108; 255
 914; ;19.23;19.64; 0.41; 159; 255
 916; ;20.20;20.71; 0.51;  43; 255
 917; ;20.06;20.58; 0.52;  86; 255
 918; ;19.32;19.76; 0.44; 211; 255
 897; ;21.33;22.02; 0.69; -91; 255
 904; ;19.63;20.06; 0.43; -62; 255
 908; ;21.23;21.96; 0.73;  60; 255
 907; ;20.38;20.88; 0.50;-168; 254
 914;a;19.23;19.64; 0.41; 158; 254
 921; ;19.37;19.79; 0.42; -89; 254
 922; ;20.29;20.82; 0.53; -55; 254
 923; ;19.71;20.17; 0.46;  10; 254
 925; ;20.80;21.34; 0.55; 103; 254
 929; ;19.35;19.76; 0.41;  -2; 254
 933; ;20.67;21.22; 0.55; -15; 254
 936; ;18.79;19.22; 0.43;   7; 254
 937; ;20.91;21.46; 0.56;  94; 254
 917;a;21.15;21.75; 0.60;  85; 254
 924; ;21.11;22.07; 0.96; -79; 254
 890;b;20.33;20.83; 0.50;-161; 253
 915; ;21.37;21.99; 0.61;-187; 253
 920; ;18.68;19.07; 0.39;-150; 253
 928; ;19.88;20.38; 0.49; -94; 253
 948; ;21.25;21.94; 0.68;  45; 253
 951; ;20.88;21.48; 0.61; 122; 253
 955; ;20.48;20.99; 0.51; 116; 253
 956; ;20.77;21.44; 0.67; 202; 253
 906; ;20.98;21.57; 0.60;-216; 253
 915;a;21.61;22.54; 0.93;-188; 253
 925;a;21.64;22.37; 0.73; 105; 253
 932; ;21.22;21.91; 0.69;-103; 253
 935; ;21.50;22.17; 0.67; -45; 253
 944; ;21.36;21.94; 0.58; 151; 253
 927; ;20.30;20.88; 0.58;-239; 252
 930; ;20.96;21.61; 0.65;-230; 252
 931; ;21.49;22.21; 0.72;-199; 252
 936;a;20.02;20.49; 0.48;   6; 252
 938; ;21.39;22.05; 0.65;-125; 252
 941; ;21.18;21.88; 0.70;-134; 252
 942;a;19.17;19.66; 0.48; -28; 252
 946; ;20.59;21.20; 0.62; -71; 252
 955;a;20.60;21.14; 0.54; 118; 252
 968; ;20.79;21.33; 0.54; 176; 252
 974; ;20.49;20.98; 0.49; 161; 252
 967; ;21.24;21.94; 0.70;  88; 252
 936;b;20.56;21.17; 0.61;   7; 251
 945; ;19.70;20.08; 0.39;-224; 251
 957; ;20.96;21.60; 0.64;-167; 251
 958; ;19.90;20.33; 0.44;-162; 251
 961; ;19.61;20.07; 0.46; -83; 251
 963;a;19.61;20.12; 0.51;  -6; 251
 968;a;20.27;20.78; 0.50; 175; 251
 981; ;20.98;21.72; 0.73; 143; 251
 883;a;20.67;21.24; 0.57;-224; 251
 930;a;21.80;22.32; 0.52;-228; 250
 972; ;20.04;20.55; 0.51;-158; 250
 977; ;20.95;21.62; 0.67;-115; 250
 979; ;21.29;21.93; 0.64; -87; 250
 980; ;20.19;20.85; 0.66;  28; 250
 989; ;20.28;20.81; 0.53; 101; 250
 990; ;21.00;21.66; 0.67; 117; 250
 999; ;19.91;20.38; 0.48; 209; 250
1004; ;20.18;20.67; 0.49; 132; 250
 998; ;21.12;21.79; 0.67; 127; 250
 936;c;19.42;19.90; 0.48;   7; 249
 983; ;20.71;21.36; 0.65;-143; 249
 985; ;18.93;19.34; 0.42; -66; 249
 987; ;19.98;20.51; 0.53; -98; 249
 988; ;20.25;20.83; 0.59; -48; 249
 994; ;20.70;21.34; 0.64; -83; 249
1003; ;20.29;20.79; 0.49;  98; 249
1007; ;20.43;21.07; 0.63;  -2; 249
1008; ;19.26;19.68; 0.42;  23; 249
 975; ;20.63;21.23; 0.61;-175; 249
 985;a;20.60;21.12; 0.52; -68; 249
 995; ;21.30;21.96; 0.66; -35; 249
 996; ;21.29;21.98; 0.68;  42; 249
1006; ;20.97;21.66; 0.70; -22; 249
 986; ;21.42;22.11; 0.69;-203; 248
 991; ;20.69;21.13; 0.44;-179; 248
 998;a;19.18;19.62; 0.44; 126; 248
1005; ;20.21;20.72; 0.51;-130; 248
1006;a;19.57;20.01; 0.43; -24; 248
1007;a;20.61;21.20; 0.59;  -1; 248
1012; ;20.91;21.55; 0.65; -56; 248
1015; ;19.47;19.89; 0.42;  64; 248
1016; ;20.31;20.83; 0.52; 105; 248
1021; ;20.30;20.84; 0.54; 230; 248
1022; ;19.12;19.51; 0.39; 242; 248
1028; ;20.03;20.47; 0.44; 121; 248
1030; ;19.29;19.67; 0.38; 157; 248
1000; ;20.75;21.28; 0.53; -77; 248
1020; ;21.14;21.63; 0.49; 111; 248
 993; ;19.94;20.41; 0.47;-244; 247
1000;a;19.36;19.84; 0.48; -77; 247
1003;a;20.13;20.61; 0.49;  98; 247
1010; ;19.84;20.24; 0.40;-146; 247
1024; ;20.83;21.46; 0.63; -92; 247
1036; ;18.82;19.21; 0.38;  48; 247
1037; ;20.90;21.48; 0.58; 215; 247
1037;a;19.80;20.26; 0.47; 213; 247
1042; ;20.61;21.19; 0.58;  53; 247
1050; ;19.46;19.89; 0.43; 236; 247
1043; ;21.52;22.32; 0.80; 139; 247
1000;b;19.57;20.06; 0.49; -78; 246
1014; ;21.33;22.13; 0.80;-230; 246
1018; ;19.89;20.37; 0.48;-219; 246
1018;a;19.85;20.34; 0.50;-220; 246
1032; ;20.04;20.42; 0.38;-116; 246
1037;b;19.65;20.08; 0.43; 211; 246
1038; ;19.89;20.39; 0.50;-139; 246
1039; ;18.69;19.06; 0.37; -98; 246
1041; ;20.34;20.89; 0.55; -53; 246
1046;a;21.29;21.98; 0.69;  76; 246
1074; ;20.39;21.04; 0.65; 156; 246
1054; ;21.51;22.24; 0.73;  -7; 246
1055; ;20.50;21.15; 0.64;  42; 246
1056; ;20.79;21.36; 0.56; 208; 246
1058; ;21.16;21.77; 0.61;   3; 246
 993;a;20.61;21.09; 0.48;-245; 245
1035; ;20.06;20.54; 0.48;-224; 245
1036;a;20.37;20.85; 0.48;  46; 245
1043;a;18.85;19.25; 0.40; 141; 245
1045; ;21.28;21.95; 0.67;-152; 245
1053; ;18.78;19.17; 0.40; -73; 245
1057; ;18.97;19.41; 0.44; -85; 245
1065; ;18.98;19.40; 0.42; -36; 245
1071; ;19.73;20.17; 0.44; -67; 245
1072; ;18.97;19.37; 0.40; -47; 245
1073; ;19.98;20.38; 0.41;  28; 245
1084; ;19.10;19.51; 0.41; 241; 245
1085; ;18.77;19.21; 0.44; 255; 245
1023; ;20.71;21.25; 0.54;-237; 245
1063;a;21.60;22.32; 0.73;-156; 245
1076; ;20.63;21.29; 0.66; 179; 245
1082; ;20.25;20.76; 0.51;  11; 245
1083; ;21.27;21.96; 0.69;  37; 245
 993;b;21.33;21.93; 0.59;-245; 244
1024;a;18.64;19.06; 0.42; -92; 244
1058;a;19.75;20.19; 0.44;   1; 244
1063; ;21.01;21.53; 0.52;-157; 244
1070; ;19.20;19.61; 0.41;-119; 244
1076;a;21.06;21.68; 0.62; 180; 244
1080; ;18.84;19.35; 0.51; -18; 244
1080;a;20.46;21.16; 0.70; -17; 244
1083;a;20.92;21.63; 0.71;  39; 244
1088; ;19.33;19.76; 0.43;  72; 244
1096; ;19.76;20.18; 0.41; 215; 244
1103;a;20.34;20.93; 0.60;  17; 244
1105; ;19.78;20.20; 0.42; 117; 244
1116;a;21.09;21.77; 0.68; 172; 244
1117; ;21.13;21.76; 0.63; 185; 244
1073;a;20.45;20.96; 0.51;  30; 244
1084;a;20.26;20.75; 0.49; 242; 244
1092; ;20.12;20.58; 0.46; -23; 244
1093; ;18.41;19.04; 0.63;  57; 244
1103; ;20.77;21.38; 0.61;  15; 244
1110; ;21.43;22.09; 0.65; 203; 244
1116; ;20.90;21.41; 0.51; 173; 244
1053;a;19.64;20.15; 0.51; -75; 243
1078; ;19.38;19.81; 0.42;-213; 243
1079; ;20.17;20.73; 0.57;-138; 243
1087; ;18.68;19.16; 0.48;-123; 243
1088;a;21.02;21.58; 0.56;  72; 243
1090; ;20.36;20.92; 0.56; -98; 243
1092;a;19.45;19.96; 0.51; -22; 243
1109; ;19.55;19.95; 0.40; 124; 243
1110;b;19.81;21.08; 1.27; 207; 243
1119; ;20.95;21.66; 0.70;  63; 243
1123; ;19.75;20.24; 0.49; 194; 243
1129; ;19.75;20.22; 0.47;  96; 243
1070;a;21.07;21.71; 0.64;-120; 243
1084;b;21.70;22.50; 0.80; 244; 243
1116;b;21.64;22.33; 0.69; 175; 243
1079;a;19.41;19.86; 0.45;-136; 242
1110;a;21.31;21.73; 0.42; 202; 242
1112; ;20.35;20.85; 0.50;-165; 242
1114; ;19.96;20.41; 0.45; -60; 242
1120; ;19.90;20.36; 0.46; -13; 242
1120;a;19.62;20.06; 0.45; -14; 242
1140; ;19.28;19.70; 0.42; 225; 242
1083;b;21.95;22.65; 0.70;  39; 242
1098; ;20.67;21.28; 0.61;-237; 242
1103;b;21.23;21.93; 0.70;  16; 242
1077;a;19.13;19.61; 0.48;-241; 241
1097; ;19.94;20.36; 0.42;-247; 241
1112;a;21.27;21.99; 0.72;-165; 241
1126; ;20.34;20.86; 0.52;-142; 241
1136; ;20.24;20.69; 0.45;  -5; 241
1145; ;20.18;20.55; 0.38;  82; 241
